name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	array	n/a	n/a	n/a	n/a	150.0	probe1	TTv
e001	array	n/a	n/a	n/a	n/a	150.0	probe1	TTv
e002	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e003	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e004	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e005	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e006	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e007	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e008	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e009	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e010	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e011	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e012	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e013	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e014	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e015	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e016	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e017	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e018	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e019	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e020	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e021	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e022	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e023	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e024	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e025	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e026	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e027	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e028	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e029	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e030	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e031	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e032	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e033	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e034	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e035	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e036	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e037	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e038	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e039	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e040	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e041	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e042	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e043	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e044	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e045	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e046	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e047	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e048	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e049	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e050	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e051	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e052	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e053	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e054	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e055	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e056	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e057	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e058	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e059	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e060	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e061	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e062	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e063	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e064	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e065	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e066	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e067	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e068	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e069	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e070	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
