name	probe_name	x	y	z	hemisphere	impedance	shank_id	location
e000	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e001	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e002	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e003	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e004	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e005	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e006	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e007	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e008	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e009	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e010	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e011	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e012	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e013	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e014	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e015	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e016	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e017	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e018	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e019	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e020	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e021	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e022	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e023	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e024	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e025	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e026	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e027	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e028	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e029	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e030	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e031	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e032	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e033	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e034	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e035	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e036	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e037	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e038	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e039	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e040	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e041	array	n/a	n/a	n/a	n/a	150.0	probe1	AON
e042	array	n/a	n/a	n/a	n/a	150.0	probe1	TTd
e043	array	n/a	n/a	n/a	n/a	150.0	probe1	TTd
e044	array	n/a	n/a	n/a	n/a	150.0	probe1	TTd
e045	array	n/a	n/a	n/a	n/a	150.0	probe1	TTd
e046	array	n/a	n/a	n/a	n/a	150.0	probe1	TTd
